SesionID,TiempoPromedioAccion(s),ErroresSesion,TareasCompletadas,NivelClasificado
S001,6.9,1,15,Intermedio
S002,9.6,5,25,Novato
S003,5.4,6,18,Novato
S004,7.6,8,28,Novato
S005,6.8,6,22,Novato
S006,8.3,7,6,Novato
S007,7.7,3,27,Novato
S008,4.3,4,28,Intermedio
S009,2.4,5,20,Novato
S010,5.7,3,9,Intermedio
S011,8.4,3,9,Novato
S012,6.3,0,5,Intermedio
S013,2.4,4,19,Intermedio
S014,2.3,8,25,Novato
S015,6.8,3,18,Intermedio
S016,9.2,8,22,Novato
S017,4.6,8,30,Novato
S018,2.2,7,16,Novato
S019,9.6,7,26,Novato
S020,5.1,5,21,Novato
S021,9.7,1,5,Novato
S022,7.5,0,9,Novato
S023,4.8,7,27,Novato
S024,9.2,8,12,Novato
S025,6.3,0,26,Intermedio
S026,7.7,8,12,Novato
S027,9.5,8,5,Novato
S028,3.8,4,24,Intermedio
S029,5.1,7,29,Novato
S030,9.0,4,10,Novato
